# object, x, y, z, voltage
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,7.350511848926499781e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,1.275385618209800009e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,9.656822681427000565e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-3.000000000000000000e+00,1.030706167221100006e-01
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-3.000000000000000000e+00,7.632584124803500070e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-3.000000000000000000e+00,1.304211765527699962e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-3.000000000000000000e+00,1.066306754946699936e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,1.057714298367500028e-01
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,7.838966697454499699e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,1.289900541305500081e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,1.169478967785800017e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.059044599533100067e-01
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.883277535438500128e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.228391751646999985e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.257631927728700139e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.044335290789600024e-01
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,7.825248688459400526e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.145912110805499956e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.326117366552400090e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.958244115114199546e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.531784474849699540e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.041642948985099931e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.327771842479699982e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,2.000000000000000000e+00,9.284795075655000174e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-1.000000000000000000e+00,2.000000000000000000e+00,7.131429016590100367e-02
